is_directed_int,has_spatial_attributes,has_temporal_attributes,is_bipartite,n_components,avg_betweenness_centrality,avg_closeness_centrality,avg_eigenvector_centrality,avg_degree,std_degree,clustering_coefficient,transitivity,modularity,communities,avg_shortest_path_length,radius,diameter,assortativity,vertex_connectivity,eccentricity_avg,n_nodes,node_types,node_attributes,number_of_isolates,density,edge_types,edge_attributes,n_parallel_edges,n_self_loops,graph_type_4,graph_type_2,graph_type_3,graph_type_1
1,1,0,0,6,0.0047618656773586,0.5969010802501358,0.0827598767275779,46.30555555555556,5.482684475676953,0.3241375125040069,0.3238358203109701,-3.782986654020348e-05,2,1.6761849261849262,2,2,-0.021720324499747,29,2.0,144,1,0,0,0.3238150738150738,1,15,0,5,1,0,0,0
0,0,0,0,3,0.0082523756436799,0.574299157619146,0.1025411444066104,23.608695652173918,4.39769300593918,0.256446488182368,0.2563205284472928,-0.0001085301289812,2,1.7427138079311992,2,3,-0.0426120465089502,15,2.1630434782608696,92,4,14,0,0.2594362159579551,4,6,4,0,1,0,0,0
1,0,1,0,2,0.0166666666666666,0.1555555555555555,0.2845183278388707,0.6666666666666666,0.816496580927726,0.0,0.0,-0.125,5,-1.0,-1,-1,-1.0,0,-1.0,6,2,6,3,0.1333333333333333,2,8,4,0,1,0,0,0
1,0,0,1,2,0.0060200939880084,0.5829635898741358,0.0899474023041653,34.049586776859506,4.998085032739075,0.2842238594495482,0.2838274816401029,-7.364030540110467e-05,2,1.7163911845730029,2,3,-0.0312518070411683,24,2.0165289256198347,121,5,10,0,0.2837465564738292,2,8,5,5,1,0,0,0
1,0,0,0,0,0.1666666666666666,0.75,0.5,2.0,0.0,0.0,0.0,0.0,2,1.3333333333333333,2,2,,2,2.0,4,5,4,0,0.6666666666666666,3,2,1,0,0,1,0,0
0,0,1,0,6,0.0085435835786466,0.5630391136114484,0.1018714617014765,21.0752688172043,4.027720682264741,0.2369787914773835,0.2350636630754162,-7.496876301545149e-05,2,1.777466105656849,2,3,-0.0416115038104308,12,2.3978494623655915,93,4,2,0,0.2290790088826554,3,5,3,2,1,0,0,0
1,1,0,0,6,0.0569828722002635,0.4514544339646479,0.1841924877862268,3.9166666666666665,1.9318084941243567,0.1248015873015873,0.15,0.0950656405613399,2,2.253623188405797,3,5,-0.3276836158192086,1,3.583333333333333,24,4,6,0,0.1702898550724637,1,1,3,4,1,0,0,0
0,1,1,0,4,0.0060406487397637,0.5989799901772861,0.0933515053877264,36.90265486725664,4.603889275403676,0.3290640835817399,0.3287833359633896,-7.775074904104695e-05,2,1.67051201011378,2,2,-0.0267716955182397,26,2.0,113,1,2,0,0.3294879898862199,3,13,0,2,1,0,0,0
1,1,1,0,7,0.0071383392066503,0.479053080449147,0.0780799029980806,15.393548387096772,3.5847743941647248,0.0997252266754651,0.1001046197896591,-2.2483767773589295e-05,2,2.092165898617512,3,3,-0.0378760111732531,7,3.0,155,2,14,0,0.0999581064097193,4,1,5,5,0,0,1,0
0,0,0,1,10,0.0135994779253206,0.4569775656032329,0.1008412016970572,9.71111111111111,2.6993317710106544,0.1087675469048017,0.1045751633986928,-2.356403395317988e-05,2,2.196754057428215,3,4,-0.0807449931462821,3,3.1222222222222222,90,1,9,0,0.1091136079900124,4,5,2,2,1,0,0,0
1,1,0,1,2,0.0116666666666666,0.6421972547612025,0.1398006670904586,21.56,3.2398034709858936,0.4330341560721626,0.4344298439015786,-0.000440587771624,2,1.56,2,2,-0.0141207254632438,16,2.0,50,3,14,0,0.44,4,3,1,4,1,0,0,0
1,1,1,0,5,0.1666666666666666,0.75,0.5,2.0,0.0,0.0,0.0,0.0,2,1.3333333333333333,2,2,,2,2.0,4,5,14,0,0.6666666666666666,3,7,2,4,0,1,0,0
1,0,1,1,7,0.0080383007263438,0.4716397789075477,0.0815367018668182,13.95774647887324,3.0640288673265155,0.0935627784595428,0.0922017329482337,-3.258387037320528e-05,2,2.125362101688143,3,3,0.0287473306719191,6,3.0,142,1,7,0,0.0989911097792428,1,3,5,1,0,0,1,0
0,1,1,1,2,0.0056420859802574,0.5214276228694327,0.0762077038786574,21.527272727272727,4.345678588515089,0.1325461606251209,0.13308775161163,-1.5852000649269626e-05,2,1.919660014781966,2,3,-0.0200305867655008,10,2.993939393939394,165,2,9,0,0.1312638580931263,2,0,1,0,1,0,0,0
1,0,1,1,5,0.0110766045548654,0.5021066744905959,0.1011373027776239,12.652173913043478,3.10063723549292,0.1361964517848553,0.1329824075356697,-5.314061005416441e-05,2,1.996894409937888,3,3,-0.0637437773398707,6,3.0,92,1,0,0,0.1390348781653129,4,8,5,4,1,0,0,0
1,1,0,0,3,0.0087126439746681,0.4860054268546008,0.0869240527033896,13.85483870967742,3.3097381528514607,0.1071944989517362,0.1093376579037214,-5.4886899107151215e-05,2,2.06294256490952,3,3,-0.013436661573998,8,3.0,124,5,0,0,0.1126409651193286,2,14,1,1,1,0,0,0
0,0,0,0,9,0.0384727061556329,0.4002873897893964,0.1369564082688065,4.761904761904762,1.9976757691160387,0.1463718820861677,0.131004366812227,-5.000000000005276e-05,2,2.5389082462253194,3,5,0.0674442776302114,1,4.047619047619048,42,3,3,0,0.1161440185830429,3,4,3,4,1,0,0,0
1,0,0,1,0,0.003426391567925,0.6059007164343907,0.0718811266620347,66.65625,5.923293489196893,0.3486144529678037,0.3486286409199853,-3.1760412634885605e-05,2,1.6510143979057592,2,2,-0.0059402206878365,51,2.0,192,5,5,0,0.3489856020942408,5,12,2,3,1,0,0,0
0,1,1,1,7,0.0075515797028272,0.5534248864265053,0.0941276858566251,21.522935779816518,3.9711840063769706,0.1990001397207364,0.1993179538615847,-3.633908435689292e-05,2,1.8080190282025144,2,3,-0.0271151039644362,10,2.403669724770642,109,4,0,0,0.1992864424057084,1,8,2,4,1,0,0,0
1,0,1,0,3,0.0004084967320261,0.0217864923747276,0.0948436757567895,0.3333333333333333,0.5940885257860046,0.0,0.0,0.2777777777777777,16,-1.0,-1,-1,-0.4999999999999998,0,-1.0,18,1,11,13,0.0196078431372549,2,11,5,1,0,0,1,0
1,0,1,0,0,0.0092352626599201,0.6014559777895088,0.1144665113047825,24.486486486486488,4.494268018305409,0.3477890884584103,0.3435228924418604,-7.370534430756416e-05,2,1.664938911514254,2,3,-0.0648316349289197,11,2.027027027027027,74,3,13,0,0.3354313217326916,2,0,2,2,1,0,0,0
1,0,0,1,3,0.0244678277697145,0.1699083422452209,0.074437447394296,2.5283018867924527,1.6166252159819812,0.0393081761006289,0.0350877192982456,0.097265537981733,16,-1.0,-1,-1,-0.0530978509373573,0,-1.0,106,1,13,13,0.0240790655884995,4,15,3,3,0,0,1,0
0,1,0,0,1,0.0160842554843719,0.38622889776683,0.090864590309738,6.745098039215686,2.6201287645397118,0.065782474606004,0.063280241067585,-4.225256895657502e-06,2,2.6084255484371965,3,5,-0.0770568794572979,1,4.117647058823529,102,4,6,0,0.0667831489031256,5,14,1,5,0,0,1,0
1,1,1,0,6,0.2368421052631578,0.1899999999999999,0.223606797749979,2.0,0.0,0.0,0.0,0.4,2,5.2631578947368425,10,10,,2,10.0,20,5,4,0,0.1052631578947368,3,8,2,0,0,1,0,0
0,0,0,1,0,0.0915678524374176,0.298666867316296,0.1696811534584705,2.4166666666666665,1.4116492564331995,0.0,0.0,0.1230677764565993,3,-1.0,-1,-1,-0.3137908061292465,0,-1.0,24,1,11,1,0.1050724637681159,2,14,4,0,1,0,0,0
0,0,0,1,7,0.0110644257703081,0.5714206185507212,0.1167024013328772,17.685714285714287,3.82419019425315,0.2583630402527198,0.2581002492384381,-0.000157897071988,2,1.7523809523809524,2,3,-0.0169687316102116,10,2.357142857142857,70,3,8,0,0.2563146997929607,3,9,3,4,1,0,0,0
